1.8371;2.0227;2.5299;3.1608;3.7794;4.4474;5.1031;5.7835
1.8619;2.5546;2.9753;3.6804;4.0021;4.3485;4.7814;5.2763
1.8495;2.3938;2.5794;2.7278;3;3.3093;4.4351;4.6701
1.9361;2.6041;2.9876;3.4206;3.9773;4.6454;5.2268;5.6598
1.9856;2.3814;2.8639;3.3464;3.6062;4.1629;4.7567;5.3258
1.899;2.4433;3.1608;3.4701;3.9278;4.3485;4.633;5.499
1.9361;2.0227;2.233;2.4433;2.5175;2.6536;2.8268;3.2474
2.4557;2.567;2.8144;2.9258;3.099;3.2351;3.5072;4.1134
1.5278;2.0598;2.7278;3.1113;3.1856;3.6062;4.3113;5.9443
2.0845;2.3443;2.5175;2.7402;3.0495;3.1485;3.5814;4.4474
1.3918;1.9237;2.1093;2.3691;2.5423;2.7773;2.8763;3.1608
2.134;2.3814;2.5052;2.7155;3.0742;3.4577;3.5691;4.0639
2.1588;2.7402;2.901;3.2722;3.7918;4.1753;4.9794;5.8206
2.1711;2.4557;2.7897;3.099;3.2969;3.5196;4.6454;5.1897
2.2082;2.8268;3.0247;3.2351;3.5938;4.0639;4.2866;5.1649
1.5526;2.2701;2.4186;2.5546;2.6165;2.8515;2.9753;4.6454
