11242;11677;11429;11801;10248;11863;13540;14286
10994;11366;11615;10807;11366;13043;13789;13851
11118;10870;11056;11242;12733;12236;10683;13975
11429;12174;12919;12236;13727;13540;13789;14161
11615;11988;12174;12609;13106;13478;12857;14472
12298;11677;11863;12174;12919;13230;13665;14037
11739;11429;11429;11491;11615;11615;11677;11677
11801;11553;11491;11056;11118;11180;11180;10497
11615;11553;11429;11429;11491;13043;13416;10373
11677;11863;11863;12174;11366;12609;12174;13789
11863;10994;12174;10932;10994;11180;11304;11863
11677;12236;12112;11429;11863;11801;12174;13168
12050;12298;12174;12236;12609;13913;14161;14286
12360;12857;11553;13416;11801;13478;14286;13540
12236;12236;12236;12795;13230;14224;11118;14410
12609;12298;12609;12671;12422;13789;11988;12919
